en,0,AACHEN,0
en,1,AARDVARK,0
en,2,AAREN,0
en,3,AARHUS,0
en,4,AARIKA,0
en,5,AARON,0
en,6,ABACK,0
en,7,ABACUS,0
en,8,ABAFT,0
en,9,ABAGAEL,0
en,10,ABAGAIL,0
en,11,ABALONE,0
en,12,ABANDON,0
en,13,ABANDONER,0
en,14,ABANDONMENT,0
en,15,ABASE,0
en,16,ABASEMENT,0
en,17,ABASER,0
en,18,ABASH,0
en,19,ABASHED,0
en,20,ABASHMENT,0
en,21,ABATE,0
en,22,ABATED,0
en,23,ABATEMENT,0
en,24,ABATER,0
en,25,ABATTOIR,0
en,26,ABBESS,0
en,27,ABBEY,0
en,28,ABBOT,0
en,29,ABBOTT,0
en,30,ABBREV,0
en,31,ABBREVIATE,0
en,32,ABBREVIATED,0
en,33,ABBREVIATES,0
en,34,ABBREVIATING,0
en,35,ABBREVIATION,0
en,36,ABBYE,0
en,37,ABDEL,0
en,38,ABDICATE,0
en,39,ABDICATION,0
en,40,ABDOMEN,0
en,41,ABDOMINAL,0
en,42,ABEAM,0
en,43,ABELARD,0
en,44,ABELSON,0
en,45,ABERDEEN,0
en,46,ABERNATHY,0
en,47,ABERRANT,0
en,48,ABERRATION,0
en,49,ABERRATIONAL,0
en,50,ABETTED,0
en,51,ABETTING,0
en,52,ABETTOR,0
en,53,ABEYANCE,0
en,54,ABEYANT,0
en,55,ABHORRED,0
en,56,ABHORRENCE,0
en,57,ABHORRENT,0
en,58,ABHORRER,0
en,59,ABHORRING,0
en,60,ABIDANCE,0
en,61,ABIDE,0
en,62,ABIDER,0
en,63,ABIDING,0
en,64,ABIDJAN,0
en,65,ABIGAEL,0
en,66,ABIGALE,0
en,67,ABILENE,0
en,68,ABILITY,0
en,69,ABJECT,0
en,70,ABJECTION,0
en,71,ABJECTNESS,0
en,72,ABJURATION,0
en,73,ABJURATORY,0
en,74,ABJURE,0
en,75,ABJURER,0
en,76,ABLATE,0
en,77,ABLATION,0
en,78,ABLATIVE,0
en,79,ABLAZE,0
en,80,ABLER,0
en,81,ABLES,0
en,82,ABLEST,0
en,83,ABLOOM,0
en,84,ABLUTION,0
en,85,ABNEGATE,0
en,86,ABNEGATION,0
en,87,ABNER,0
en,88,ABNORMAL,0
en,89,ABNORMALITY,0
en,90,ABOARD,0
en,91,ABODE,0
en,92,ABOLISH,0
en,93,ABOLISHER,0
en,94,ABOLISHMENT,0
en,95,ABOLITION,0
en,96,ABOLITIONISM,0
en,97,ABOLITIONIST,0
en,98,ABOMINABLE,0
en,99,ABOMINABLY,0
en,100,ABORIGINAL,0
en,101,ABORIGINE,0
en,102,ABORNING,0
en,103,ABORT,0
en,104,ABORTIVE,0
en,105,ABORTIVENESS,0
en,106,ABOUND,0
en,107,ABOUT,0
en,108,ABOVE,0
en,109,ABOVEBOARD,0
en,110,ABOVEGROUND,0
en,111,ABRACADABRA,0
en,112,ABRADE,0
en,113,ABRADER,0
en,114,ABRAHAM,0
en,115,ABRAHAN,0
en,116,ABRAM,0
en,117,ABRAMO,0
en,118,ABRAMSON,0
en,119,ABRAN,0
en,120,ABRASION,0
en,121,ABRASIVE,0
en,122,ABRASIVENESS,0
en,123,ABREACTION,0
en,124,ABREAST,0
en,125,ABRIDGE,0
en,126,ABRIDGED,0
en,127,ABRIDGER,0
en,128,ABRIDGMENT,0
en,129,ABROAD,0
en,130,ABROGATE,0
